business_category,sub_category,brand,product,quantity,price,mainCategory,midCategory,category,qty,unit
Grocery/General Stores,"Masalas, Spices, Sugar & Jaggery",Tata Sampann,Panch Phoran Dal Tadka Masala - Used for Tempering,100 g,MRP: Rs 85,foodgrains-oil-masala,masalas-spices,blended-masalas,100,g
Grocery/General Stores,Household and Kitchen needs,Dettol,"Liquid Laundry Sanitizer - After Detergent Wash, Spring Blossom",960 ml - Rs 261.00,Rs 261,cleaning-household,detergents-dishwash,fabric-pre-post-wash,960,ml
Grocery/General Stores,Pickles & Chutney,Mother's Recipe,Pickle - Rajasthani Sweet Lime,350 g Jar,Rs 94,snacks-branded-foods,pickles-chutney,lime-mango-pickle,350,g
Grocery/General Stores,"Atta, Flours, Rice, Pulses & Grains",Eastern,Podi - Chemba Puttu,500 g Pouch,Rs 55.29,foodgrains-oil-masala,atta-flours-sooji,rice-other-flours,500,g
Grocery/General Stores,"Atta, Flours, Rice, Pulses & Grains",Tata Sampann,Kasuri Fenugreek,25 gm,Rs 28,foodgrains-oil-masala,organic-staples,organic-masalas-spices,25,g
Grocery/General Stores,"Noodles, Pasta, Ready to Cook & Eat",Samyang,Seafood Party Ramen,125 g Packet,MRP: Rs 125,gourmet-world-food,pasta-soup-noodles,imported-noodles,125,g
Personal Care,Men's Grooming,USTRAA,Mooch & Beard Oil - 4X4,35 ml,Rs 230,beauty-hygiene,mens-grooming,moustache-beard-care,35,ml
Grocery/General Stores,Dairy products,iD,Creamy Thick Curd,200 g Cup - Rs 30.00,MRP: Rs 30,bakery-cakes-dairy,dairy,curd,200,g
Grocery/General Stores,"Spreads, Sauces and Canned Food",Sundrop,Peanut Butter With Jelly - Grape,340 g,MRP: Rs 150,snacks-branded-foods,spreads-sauces-ketchup,choco-nut-spread,340,g
Grocery/General Stores,Dry Fruits & Nuts,24 Mantra,Organic Flax Seeds Organic,200 g Pouch,MRP: Rs 65,foodgrains-oil-masala,organic-staples,organic-dry-fruits,200,g
Grocery/General Stores,"Water, Cold Drinks and Fruit Juices",Mountain Dew,Mountain Dew,750 ml,Rs 35.20,beverages,energy-soft-drinks,cold-drinks,750,ml
Grocery/General Stores,Chips and Crisps,Lays,Potato Chips - Cheesy Love Flavour,25 g,Rs 10,snacks-branded-foods,snacks-namkeen,chips-corn-snacks,25,g
Grocery/General Stores,Indian Sweets,Tasties,Gond Ghee Laddoo,200 g,MRP: Rs 180,snacks-branded-foods,indian-mithai,fresh-sweets,200,g
Grocery/General Stores,Breakfast Cereals,Kelloggs,Corn Flakes,70 g,MRP: Rs 20,snacks-branded-foods,breakfast-cereals,flakes,70,g
Personal Care,Deo & Fragrance,Police,Icon Eau De Parfum,125 ml,Rs 2700,beauty-hygiene,fragrances-deos,eau-de-parfum,125,ml
Grocery/General Stores,"Atta, Flours, Rice, Pulses & Grains",Pillsbury,Atta/Godihittu - Multigrain,5 kg Pouch,Rs 239,foodgrains-oil-masala,atta-flours-sooji,atta-whole-wheat,5,kg
Grocery/General Stores,"Masalas, Spices, Sugar & Jaggery",PRISTINE,Fields of Gold Himalayan Pink Salt/Uppu,1 kg Pouch,Rs 116.40,foodgrains-oil-masala,salt-sugar-jaggery,salts,1,kg
Grocery/General Stores,"Masalas, Spices, Sugar & Jaggery",Eastern,Powder - Pepper,100 g Pouch,Rs 99.75,foodgrains-oil-masala,masalas-spices,powdered-spices,100,g
Grocery/General Stores,Household and Kitchen needs,Iveo,100% Melamine Idli/Pasta Plate - Orange,1 pc,Rs 149,kitchen-garden-pets,crockery-cutlery,plates-bowls,1,pc
Grocery/General Stores,Ghee and Oil,Sundrop,SuperLite Advanced - Sunflower Oil,5 L Can - Rs 1340.00,MRP: Rs 1340,foodgrains-oil-masala,edible-oils-ghee,sunflower-rice-bran-oil,5,l
Personal Care,Baby Care,Himalaya Baby,Refreshing - Baby Soap,125 g Carton - Rs 72.00,MRP: Rs 72,baby-care,baby-bath-hygiene,baby-bath,125,g
Grocery/General Stores,Dairy products,Epigamia,Greek Yogurt Smoothie - Alphonso Mango,200 ml Bottle,Rs 49,bakery-cakes-dairy,dairy,yogurt-shrikhand,200,ml
Grocery/General Stores,"Tea , Coffee and Powders",iD,Traditional Filter Coffee Decoction,20 ml,MRP: Rs 10,beverages,coffee,instant-coffee,20,ml
Grocery/General Stores,Chips and Crisps,Cornitos,Nachos - Quinoa,70 g,Rs 48,gourmet-world-food,snacks-dry-fruits-nuts,nachos-chips,70,g
Grocery/General Stores,Batteries and Electonic Acessories ,Energizer,Alkaline Battery Max AA (4+2 Free),6 pcs,Rs 145,kitchen-garden-pets,appliances-electricals,battery-electrical,6,pc
Grocery/General Stores,"Masalas, Spices, Sugar & Jaggery",Mdh,Masala - Chicken,100 g Carton - Rs 67.90,Rs 67.90,foodgrains-oil-masala,masalas-spices,blended-masalas,100,g
Chicken and meat,Chicken,Republic of Chicken,Burger Patty - Chicken,450 g,MRP: Rs 270,eggs-meat-fish,poultry,frozen-chicken,450,g
Personal Care,Baby Care,Chicco,Baby Feeding Bottle Teat Medium Flow - 2m+,2 pcs,MRP: Rs 279,baby-care,feeding-nursing,sippers-bottles,2,pc
Grocery/General Stores,Bread and bakery,English Oven,Bread - Fruit,150 g Pouch,MRP: Rs 20,bakery-cakes-dairy,breads-buns,milk-white-sandwich,150,g
Grocery/General Stores,Dairy products,Amul,Slim N Trim - Non Fat Milk Powder,500 g Carton,Rs 209,bakery-cakes-dairy,dairy,condensed-powdered-milk,500,g
Grocery/General Stores,"Utensils, Plastics & Storage",Princeware,Kitchen Multiutility Plastic Tray No. 1 - Mango Yellow,1 pc,Rs 89,cleaning-household,bins-bathroom-ware,laundry-storage-baskets,1,pc
Grocery/General Stores,Health care,Manju's,Glycerin,200 g - Rs 150.00,MRP: Rs 150,beauty-hygiene,health-medicine,everyday-medicine,200,g
Grocery/General Stores,"Masalas, Spices, Sugar & Jaggery",MTR,Masala - Vangibath Powder,200 g Pouch - Rs 107.00,Rs 107,foodgrains-oil-masala,masalas-spices,blended-masalas,200,g
Grocery/General Stores,Health care,Dabur,Ashwagandha Churna,100 g,MRP: Rs 135,beauty-hygiene,health-medicine,ayurveda,100,g
Grocery/General Stores,Pickles & Chutney,BENGAMESE,Bamboo Shoot Pickle,200 g,MRP: Rs 329,gourmet-world-food,tinned-processed-food,tomatoes-vegetables,200,g
Grocery/General Stores,Household and Kitchen needs,Pril,Liquid Dishwasher - Tamarind,750 ml - Rs 144.00,Rs 144,cleaning-household,detergents-dishwash,dishwash-liquids-pastes,750,ml
Grocery/General Stores,"Utensils, Plastics & Storage",LaOpala,Opalware Dinner Set - Trinity Green,15 pcs,Rs 1239,kitchen-garden-pets,crockery-cutlery,dinner-sets,15,pc
Personal Care,Deo & Fragrance,Nivea,"Women Deodorant Roll On - Fresh Natural, Long Lasting Freshness & 48h Protection",50 ml,Rs 159.20,beauty-hygiene,fragrances-deos,body-sprays-mists,50,ml
Personal Care,Body Care,PureSense,Macadamia Renewing Night Cream,50ml,Rs 995,beauty-hygiene,skin-care,face-care,50,ml
Grocery/General Stores,"Atta, Flours, Rice, Pulses & Grains",Aashirvaad,Nature's Super Foods - Multi Millet Mix,500 g Pouch - Rs 73.50,Rs 73.50,foodgrains-oil-masala,atta-flours-sooji,rice-other-flours,500,g
Personal Care,Body Care,Ponds,Magic Freshness Talc,100 g - Rs 120.00,MRP: Rs 120,beauty-hygiene,bath-hand-wash,talcum-powder,100,g
Grocery/General Stores,Health Drinks & Supplements,Bournvita,Chocolate Health Drink - 5 Star Magic,750 g Pouch,Rs 292.50,beverages,health-drink-supplement,kids-5yrs,750,g
Grocery/General Stores,"Utensils, Plastics & Storage",Nakoda,Multi Utility Transparent Plastic Basket/Tray - Medium,1 pc,Rs 329,cleaning-household,bins-bathroom-ware,laundry-storage-baskets,1,pc
Grocery/General Stores,"Utensils, Plastics & Storage",Joyo Steel,"Steel Storage/Lunch Container - No.14, Blue, Klip It",1 L,Rs 219,kitchen-garden-pets,steel-utensils,steel-storage-containers,1,l
Personal Care,Men's Grooming,USTRAA,Ammunition Cologne Soap With Charcoal & Bay Leaf,125 g (Pack of 2),Rs 222.75,beauty-hygiene,mens-grooming,bath-shower,125,g
Grocery/General Stores,"Masalas, Spices, Sugar & Jaggery",PRO ORGANIC LIFE,Sugar Bura,1 kg 1,MRP: Rs 250,foodgrains-oil-masala,salt-sugar-jaggery,sugar-jaggery,1,kg
Grocery/General Stores,Household and Kitchen needs,Nature Protect,Disinfectant Surface Cleaning Spray,450 ml,Rs 199,cleaning-household,all-purpose-cleaners,disinfectant-spray-cleaners,450,ml
Personal Care,Baby Care,Mee Mee,Rattle Set - Musical,1 pc,MRP: Rs 899,baby-care,baby-accessories,soothers-teethers,1,pc
Grocery/General Stores,Biscuits and Cookies,Britannia,50-50 Timepass Salted Biscuits,39 g,MRP: Rs 5,snacks-branded-foods,biscuits-cookies,salted-biscuits,39,g
Personal Care,Feminine Hygiene,Vwash,Plus Expert Intimate Hygiene,100 ml Bottle - Rs161.00,Rs 161,beauty-hygiene,feminine-hygiene,intimate-wash-care,100,ml
Grocery/General Stores,"Tea , Coffee and Powders",Teamonk,Nilgiris Green Teabags - Koen Organic Rose,50 g (25 Bags x 2 g each),Rs 350,beverages,tea,tea-bags,50,g
Grocery/General Stores,Pet food and accessories,Pet king,"Anti Bite Pet Muzzle Mask - Duck Shaped, Medium, Assorted Colour",1 pc,MRP: Rs 225,kitchen-garden-pets,pet-food-accessories,pet-collars-leashes,1,pc
Grocery/General Stores,Pooja essentials,Shubhkart,Kuber Deep - Size 0,1 pc,Rs 79,cleaning-household,pooja-needs,other-pooja-needs,1,pc
Grocery/General Stores,"Noodles, Pasta, Ready to Cook & Eat",Kims,Egg Hakka Noodles,1 kg,MRP: Rs 150,gourmet-world-food,pasta-soup-noodles,imported-noodles,1,kg
Grocery/General Stores,Household and Kitchen needs,Gala,Toilex With Roundy Cont.- Vf,1 pc,MRP: Rs 220,cleaning-household,mops-brushes-scrubs,toilet-other-brushes,1,pc
Grocery/General Stores,Party Essentials,Boing,"Holi Pichkari / Water Gun, Avengers - Blue",1 pc,MRP: Rs 299,cleaning-household,party-festive-needs,holi-colours-pichkari,1,pc
Personal Care,Body Care,Yardley London,Morning Dew Perfumed Talc,250 g - Rs184.50,Rs 184.50,beauty-hygiene,bath-hand-wash,talcum-powder,250,g
Grocery/General Stores,"Spreads, Sauces and Canned Food",Doritos, Mild Salsa,300g,₹ 259.00,snacks-branded-foods,spreads-sauces-ketchup,dips-dressings,300,g
Grocery/General Stores,"Spreads, Sauces and Canned Food",Veeba,Chipotle Southwest Dressing,300 g,MRP: Rs 161,snacks-branded-foods,spreads-sauces-ketchup,dips-dressings,300,g
Grocery/General Stores,"Spreads, Sauces and Canned Food",La Vieja Fabrica,Spread - Seville Orange,375 g,MRP: Rs 340,snacks-branded-foods,spreads-sauces-ketchup,jam-conserve-marmalade,375,g
Grocery/General Stores,"Spreads, Sauces and Canned Food",Navya Food Art,Green Chilli Sauce,700 g,Rs 65,snacks-branded-foods,spreads-sauces-ketchup,chilli-soya-sauce,700,g
Grocery/General Stores,Breakfast Cereals,Monsoon Harvest,Oat Clusters & Ragi Flakes With Strawberry,350 g Packet,MRP: Rs 260,gourmet-world-food,cereals-breakfast,gourmet-flakes,350,g
Grocery/General Stores,Household and Kitchen needs,Anjali,"Induction Base Steel Kadai With Glass Lid - 20 cm, Fiesta",1 pc,Rs 499,kitchen-garden-pets,cookware-non-stick,kadai-fry-pans,1,pc
Grocery/General Stores,Baking Equipments,HAZEL,Small Silicone Teddy Bear Shape Cake Mould - Blue,1 pc,Rs 139,kitchen-garden-pets,bakeware,bakeware-moulds-cutters,1,pc
Grocery/General Stores,Health care,ORSL,Fos Drink Apple,200 ml,Rs 37,beauty-hygiene,health-medicine,everyday-medicine,200,ml
Personal Care,Baby Care,Himalaya,Nourishing - Baby Soap,75 g Carton,MRP: Rs 50,baby-care,baby-bath-hygiene,baby-bath,75,g
Personal Care,Deo & Fragrance,Rexona,Underarm Roll On Deodorant For Women - Shower Fresh,50 ml,Rs 114.75,beauty-hygiene,fragrances-deos,body-sprays-mists,50,ml
Grocery/General Stores,"Tea , Coffee and Powders",Chaayos,Premium Flavoured Tea Blend - Masala Chai,100 g,MRP: Rs 179,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,100,g
Grocery/General Stores,"Noodles, Pasta, Ready to Cook & Eat",Koka,Noodles - Rice,330 g Pouch,Rs 247.50,gourmet-world-food,pasta-soup-noodles,imported-noodles,330,g
Grocery/General Stores,Biscuits and Cookies,Unibic,Cookies - Butter,75 g Pouch,Rs 22.50,snacks-branded-foods,biscuits-cookies,cookies,75,g
Personal Care,Deo & Fragrance,Yardley London,Gentleman Urbane - Eau De Parfum For Men,100 ml,Rs 1350,beauty-hygiene,fragrances-deos,eau-de-toilette,100,ml
Grocery/General Stores,Household and Kitchen needs,Borosil,Borosilicate Select Glass Mixing Bowl - Oven & Microwave Safe,2 pcs (500 ml + 1.3 L),Rs 729,kitchen-garden-pets,crockery-cutlery,glassware,2,pc
Grocery/General Stores,Bread and bakery,The Baker's Dozen,Eggless Vanilla Chocolate Cupcakes,150 g,MRP: Rs 135,bakery-cakes-dairy,cakes-pastries,muffins-cup-cakes,150,g
Grocery/General Stores,"Utensils, Plastics & Storage",Nakoda,Pixel Printed Designer Bucket - Assorted Colour,18 L,MRP: Rs 629,cleaning-household,bins-bathroom-ware,buckets-mugs,18,l
Grocery/General Stores,"Spreads, Sauces and Canned Food",Habanero,Sauce - Peri Peri 65gm + Hot Sauce 75ml,Combo 2 Items,Rs 131.57,snacks-branded-foods,spreads-sauces-ketchup,dips-dressings,2,pc
Grocery/General Stores,Dairy products,Baskin Robbins,Ice Cream - Roasted Californain Almond,450 ml,Rs 306,gourmet-world-food,dairy-cheese,gourmet-ice-cream,450,ml
Grocery/General Stores,Baking Equipments,Klassic,"Silicone Baking Mats, KL-52",1 pc,Rs 329,kitchen-garden-pets,bakeware,bakeware-accessories,1,pc
Grocery/General Stores,Dry Fruits & Nuts,Tong Garden,Party Snack,500 g Pouch,Rs 255,gourmet-world-food,snacks-dry-fruits-nuts,trail-cocktail-mixes,500,g
Grocery/General Stores,"Spreads, Sauces and Canned Food",Habanero,Salsa - Tomato 270gm + Sauce - Peri Peri 65gm,Combo 2 Items,Rs 227.12,gourmet-world-food,sauces-spreads-dips,hummus-cheese-salsa-dip,2,pc
Grocery/General Stores,Dairy products,Amul,Cheese Spread - Yummy Plain,200 g Tub,Rs 80.75,bakery-cakes-dairy,dairy,cheese,200,g
Grocery/General Stores,Household and Kitchen needs,Lizol ,"Disinfectant Surface & Floor Cleaner Liquid, Pine",975 ml,Rs 179,cleaning-household,all-purpose-cleaners,disinfectant-spray-cleaners,975,ml
Personal Care,Baby Care,Mee Mee,Gentle Nail Clipper With Magnifier - White/Green,1 pc,MRP: Rs 199,baby-care,baby-accessories,combs-brushes-clippers,1,pc
Grocery/General Stores,Health Drinks & Supplements,Bournvita,Chocolate Health Drink - Bournvita,75 g Pouch,Rs 27,beverages,health-drink-supplement,kids-5yrs,75,g
Grocery/General Stores,"Utensils, Plastics & Storage",Nirlon,Non Stick Cookware Gift Set,3 pcs,MRP: Rs 2489,kitchen-garden-pets,cookware-non-stick,cookware-sets,3,pc
Grocery/General Stores,Health Drinks & Supplements,MTR,Drink Mix - Badam,200 g Carton,MRP: Rs 120,beverages,health-drink-supplement,kids-5yrs,200,g
Grocery/General Stores,Pet food and accessories,Pedigree,"Oral Care Dentastix 5-10 kg Dogs, 440 g + Chicken Chunks (Puppy) 80 g 15 Packs",Combo 2 Items,Rs 911.88,kitchen-garden-pets,pet-food-accessories,pet-meals-treats,2,pc
Grocery/General Stores,Health care,Dettol,"Sitishield D95 Mask – Medium, Black",1 pc,Rs 254.15,beauty-hygiene,health-medicine,face-masks-safety-gears,1,pc
Grocery/General Stores,Dairy products,Amul,Cheese Slices,100 g (5 Slices) - Rs 71.00,MRP: Rs 71,bakery-cakes-dairy,dairy,cheese,100,g
Grocery/General Stores,Biscuits and Cookies,Unibic,Cookies - Choconut,75 g Carton - Rs 22.50,Rs 22.50,snacks-branded-foods,biscuits-cookies,cookies,75,g
Grocery/General Stores,Health Drinks & Supplements,Dabur,Glucose-D - Energy Boost with Vitamin D,125 g,Rs 26.10,beverages,health-drink-supplement,glucose-powder-tablets,125,g
Grocery/General Stores,Batteries and Electonic Acessories ,Eveready,"LED Bulb - 7 Watt, Cool Day Light, Base B22D",1 pc,Rs 85,kitchen-garden-pets,appliances-electricals,cfl-led-bulbs,1,pc
Grocery/General Stores,"Spreads, Sauces and Canned Food",Kissan,Fresh Tomato Ketchup,950 g Pouch,Rs 90,snacks-branded-foods,spreads-sauces-ketchup,tomato-ketchup-sauces,950,g
Grocery/General Stores,Dry Fruits & Nuts,Tong Garden,Sunflower Seeds - B.B.Q,30 g Pouch,MRP: Rs 30,gourmet-world-food,snacks-dry-fruits-nuts,roasted-seeds-nuts,30,g
Grocery/General Stores,Indian Sweets,Bikaji,"Soan Papdi, Mb",450 g,Rs 115,snacks-branded-foods,indian-mithai,tinned-packed-sweets,450,g
Personal Care,Men's Grooming,Nova,NHT 1093 Trim & Shave Cordless Trimmer For Men - Black,1 pc,Rs 850.50,beauty-hygiene,mens-grooming,moustache-beard-care,1,pc
Grocery/General Stores,Batteries and Electonic Acessories ,Philips,"LED Bulb - 21 Watt, Cool Daylight, Stellar Bright Base B22",1 pc,Rs 285,kitchen-garden-pets,appliances-electricals,cfl-led-bulbs,1,pc
Grocery/General Stores,Household and Kitchen needs,Lizol,Disinfectant Surface & Floor Cleaner Liquid - [Citrus 2 L + Floral 2 L],Combo 2 Items,Rs 571.34,cleaning-household,all-purpose-cleaners,disinfectant-spray-cleaners,2,pc
Personal Care,Skin Care,Soulflower,Rosemary Essential Oil,30 ml - Rs 595.00,Rs 595,beauty-hygiene,skin-care,aromatherapy,30,ml
Grocery/General Stores,Candies and Mints,Mentos,Chewy Candy Stick - Strawberry Flavour,14 pcs,MRP: Rs 15,snacks-branded-foods,chocolates-candies,mints-chewing-gum,14,pc
Grocery/General Stores,"Water, Cold Drinks and Fruit Juices",Rasna,Insta - Nimbupaani,500 g,Rs 125,beverages,fruit-juices-drinks,syrups-concentrates,500,g
Personal Care,Body Care,Spinz,Talcum Powder - Exotic,400 g,MRP: Rs 250,beauty-hygiene,bath-hand-wash,talcum-powder,400,g
Personal Care,Baby Care,Bio-Oil,"Specialist Skincare Oil Natural, Clinically Proven Natural Solution For Scars, Stretch Marks, Ageing, Uneven Skintone",60 ml,Rs 550,baby-care,mothers-maternity,maternity-personal-care,60,ml
Grocery/General Stores,"Noodles, Pasta, Ready to Cook & Eat",Barilla,Whole Wheat Penne Pasta - Pennette Rigate Integrali,500 g,MRP: Rs 325,snacks-branded-foods,noodle-pasta-vermicelli,pasta-macaroni,500,g
Grocery/General Stores,Dry Fruits & Nuts,Phalada Pure & Sure,Organic - Quinoa Seeds,500 g,MRP: Rs 240,foodgrains-oil-masala,organic-staples,organic-dry-fruits,500,g
Grocery/General Stores,"Noodles, Pasta, Ready to Cook & Eat",Knorr,Chinese Sweet Corn Veg Soup,44 g,MRP: Rs 55,snacks-branded-foods,ready-to-cook-eat,soups,44,g
Grocery/General Stores,Household and Kitchen needs,Fortune,Dishwasher Tablet,600 g,MRP: Rs 440,cleaning-household,all-purpose-cleaners,imported-cleaners,600,g
Grocery/General Stores,"Noodles, Pasta, Ready to Cook & Eat",Knorr,International Mexican Tomato Corn Soup,52 g,MRP: Rs 65,snacks-branded-foods,ready-to-cook-eat,soups,52,g
Grocery/General Stores,Dairy products,ORGANIC ORIGINS,"Butter - Almond, Smooth",200 g,MRP: Rs 490,gourmet-world-food,dairy-cheese,butter-cream,200,g
Personal Care,Deo & Fragrance,Nike,Man - Green Body Mist,200 ml,Rs 278.40,beauty-hygiene,fragrances-deos,body-sprays-mists,200,ml
Grocery/General Stores,"Noodles, Pasta, Ready to Cook & Eat",Weikfield,Custard Powder Butterscotch,75 g Carton,Rs 36,snacks-branded-foods,ready-to-cook-eat,dessert-mixes,75,g
Grocery/General Stores,Chocolates,Amul,Hazelnut Chocolate,150 g,Rs 200,snacks-branded-foods,chocolates-candies,chocolates,150,g
Personal Care,Body Care,Neutrogena,"Hydro Boost 3d Sleeping Mask, White",50 g,"₹ 1,100.00",beauty-hygiene,skin-care,body-care,50,g
Grocery/General Stores,Household and Kitchen needs,Lizol,Kitchen Power Cleaner Spray - Removes 99.9% Germs,450 ml - Rs 129.00,Rs 129,cleaning-household,all-purpose-cleaners,disinfectant-spray-cleaners,450,ml
Grocery/General Stores,"Water, Cold Drinks and Fruit Juices",Tang,Orange Drink Powder,500 g,MRP: Rs 349,gourmet-world-food,drinks-beverages,gourmet-juices-drinks,500,g
Grocery/General Stores,"Utensils, Plastics & Storage",Hawkins,Classic Aluminium Pressure Cooker - CL50,5 L,Rs 1852.50,kitchen-garden-pets,cookware-non-stick,pressure-cookers,5,l
Personal Care,Body care,Aveeno,Positively Nourishing Calming Body Wash,473 ml,rs 2295,beauty-hygiene,skin-care,body-care,473,ml
Grocery/General Stores,"Utensils, Plastics & Storage",Prestige,"Omega Deluxe Non-Stick BYK Cookware Set, Maroon (30747/307472)",3 pcs (Tawa+Kadai+Fry Pan),Rs 1880,kitchen-garden-pets,cookware-non-stick,cookware-sets,3,pc
Grocery/General Stores,"Noodles, Pasta, Ready to Cook & Eat",Weikfield,Cooker Cake Mix - Chocolate,150 g,Rs 47.50,snacks-branded-foods,ready-to-cook-eat,dessert-mixes,150,g
Milk & Milk Products,Flavoured Soya Milk,So Good,Almond Milk - Vanilla,1 L Multipack - Rs 351.95,Rs 351.95,bakery-cakes-dairy,dairy,flavoured-soya-milk,1,l
Grocery/General Stores,Frozen Veggies & Snacks,Frozen Star,Green Peas,200 g,MRP: Rs 50,snacks-branded-foods,frozen-veggies-snacks,frozen-vegetables,200,g
Personal Care,Hair Care,Hair & Care,"Hair Oil Fruit Oils, Orange",200 ml,Rs 115,beauty-hygiene,hair-care,hair-oil-serum,200,ml
Grocery/General Stores,Pickles & Chutney,Priya,Pickle - Red Chillies (With Garlic),300 g Bottle,MRP: Rs 90,snacks-branded-foods,pickles-chutney,other-veg-pickle,300,g
Grocery/General Stores,"Masalas, Spices, Sugar & Jaggery",Keya,"Spice Mix - Piri Piri, Multipurpose",80 g Box,Rs 84.15,foodgrains-oil-masala,masalas-spices,blended-masalas,80,g
Grocery/General Stores,"Utensils, Plastics & Storage",JOYO,"Better Home Bucket - Printed, Assorted",16 L,Rs 329,cleaning-household,bins-bathroom-ware,buckets-mugs,16,l
Grocery/General Stores,Party Essentials,Hankley,Christmas Star Hanging Decorations,1 pc,Rs 59,cleaning-household,party-festive-needs,decorations,1,pc
Grocery/General Stores,Dairy products,Amulya,Dairy Whitener,500 g Pouch - Rs 185.00,Rs 185,bakery-cakes-dairy,dairy,condensed-powdered-milk,500,g
Grocery/General Stores,Candies and Mints,Parle,Toffee - Kismi,294 g Pouch,MRP: Rs 50,snacks-branded-foods,chocolates-candies,toffee-candy-lollypop,294,g
Grocery/General Stores,Bread and bakery,Britte,Ready to Eat - Frozen Chappathi (100% Veg),10 pcs (300 gm),MRP: Rs 74,snacks-branded-foods,frozen-veggies-snacks,frozen-indian-breads,10,pc
Grocery/General Stores,Candies and Mints,Fruit-Tella,Chewy Toffee Stick - Orange Flavour,45 g,MRP: Rs 30,snacks-branded-foods,chocolates-candies,toffee-candy-lollypop,45,g
Grocery/General Stores,"Noodles, Pasta, Ready to Cook & Eat",ITC Master Chef,"All-Purpose Gravy - Korma Masala, Easy and Quick, Pre-Cooked Indian Gravy, No Preservatives",200 g - Rs95.00,Rs 95,snacks-branded-foods,ready-to-cook-eat,heat-eat-ready-meals,200,g
Personal Care,Body Care,Soulflower,Lavender Heart Bath Gift Set For Skin & Hair,10 pcs,Rs 1400,beauty-hygiene,bath-hand-wash,bath-salts-oils,10,pc
Grocery/General Stores,Bread and bakery,The Baker's Dozen,Beetroot Crackers - 100% Wholewheat,100 g,MRP: Rs 109,bakery-cakes-dairy,bakery-snacks,bread-sticks-lavash,100,g
Grocery/General Stores,Dry Fruits & Nuts,Tong Garden,Salted Pistachios,400 g Pouch - Rs 807.50,Rs 807.50,gourmet-world-food,snacks-dry-fruits-nuts,roasted-seeds-nuts,400,g
Grocery/General Stores,Ghee and Oil,Patanjali,Sunflower Oil,1 L,MRP: Rs 220,foodgrains-oil-masala,edible-oils-ghee,sunflower-rice-bran-oil,1,l
